Species,FBname,Genus,Subfamily,BodyShapeI,Vulnerability,Length,DepthRangeShallow,DepthRangeDeep,Aquarium,Dangerous
Halieutopsis galatea,NA,Halieutopsis,NA,short and / or deep,24.57,5.51,NA,1551,never/rarely,harmless
Halieutopsis ingerorum,NA,Halieutopsis,NA,short and / or deep,19.75,NA,1380,2356,never/rarely,harmless
Halieutopsis margaretae,NA,Halieutopsis,NA,short and / or deep,26.58,6.35,445,1185,never/rarely,harmless
Halieutopsis nudiventer,NA,Halieutopsis,NA,short and / or deep,26.16,7.5,NA,NA,never/rarely,harmless
Halieutopsis simula,NA,Halieutopsis,NA,short and / or deep,26.81,6.53,NA,512,never/rarely,harmless
Halieutopsis stellifera,NA,Halieutopsis,NA,short and / or deep,28.47,7.12,410,1372,never/rarely,harmless
Halieutopsis tumifrons,NA,Halieutopsis,NA,short and / or deep,27.89,6.9,NA,2487,never/rarely,harmless
Halieutopsis vermicularis,NA,Halieutopsis,NA,short and / or deep,30.14,7.8,391,1141,never/rarely,harmless
Haplophryne mollis,Soft leafvent angler,Haplophryne,NA,short and / or deep,10,15.9,NA,2250,never/rarely,harmless
Himantolophus albinares,NA,Himantolophus,NA,short and / or deep,13.18,19,330,1950,never/rarely,harmless
Himantolophus appelii,Prickly footballfish,Himantolophus,NA,short and / or deep,32.11,40,338,1360,never/rarely,harmless
Himantolophus azurlucens,NA,Himantolophus,NA,NA,10,NA,900,1100,never/rarely,harmless
Himantolophus borealis,NA,Himantolophus,NA,short and / or deep,10,NA,1210,NA,never/rarely,harmless
Himantolophus brevirostris,NA,Himantolophus,NA,short and / or deep,10,4,NA,3000,never/rarely,harmless
Himantolophus compressus,NA,Himantolophus,NA,NA,10,NA,NA,NA,never/rarely,harmless
Himantolophus cornifer,NA,Himantolophus,NA,NA,15.38,NA,0,1900,never/rarely,harmless
Himantolophus crinitus,NA,Himantolophus,NA,NA,10,NA,NA,610,never/rarely,harmless
Himantolophus danae,NA,Himantolophus,NA,NA,10,NA,350,NA,never/rarely,harmless
Himantolophus groenlandicus,Atlantic footballfish,Himantolophus,NA,short and / or deep,49.28,4,830,1830,never/rarely,harmless
Himantolophus litoceras,NA,Himantolophus,NA,short and / or deep,23.67,NA,654,NA,never/rarely,harmless
Himantolophus macroceras,NA,Himantolophus,NA,NA,10,NA,NA,2100,never/rarely,harmless
Himantolophus macroceratoides,NA,Himantolophus,NA,NA,10.59,NA,800,900,never/rarely,harmless
Himantolophus mauli,NA,Himantolophus,NA,short and / or deep,16.23,NA,400,750,never/rarely,harmless
Himantolophus melanolophus,NA,Himantolophus,NA,short and / or deep,10,NA,360,880,never/rarely,harmless
Himantolophus multifurcatus,NA,Himantolophus,NA,NA,10,NA,200,365,never/rarely,harmless
Himantolophus nigricornis,NA,Himantolophus,NA,NA,13.79,NA,NA,NA,never/rarely,harmless
Himantolophus paucifilosus,NA,Himantolophus,NA,NA,10.59,NA,100,1540,never/rarely,harmless
Himantolophus pseudalbinares,NA,Himantolophus,NA,NA,10,NA,NA,1300,never/rarely,harmless
Himantolophus rostratus,NA,Himantolophus,NA,short and / or deep,10,3.9,NA,NA,never/rarely,harmless
Himantolophus sagamius,Pacific footballfish,Himantolophus,NA,short and / or deep,14.4,20,613,1200,never/rarely,harmless
Himantolophus stewarti,NA,Himantolophus,NA,short and / or deep,10,NA,400,1413,never/rarely,harmless
Histiophryne bougainvilli,Smooth anglerfish,Histiophryne,Histiophryninae,NA,10,9,0,6,never/rarely,harmless
Histiophryne cryptacanthus,Cryptic anglerfish,Histiophryne,Histiophryninae,short and / or deep,10,9.6,5,130,never/rarely,harmless
Histiophryne maggiewalker,Queensland frogfish,Histiophryne,Histiophryninae,short and / or deep,10,5.5,7,12,never/rarely,harmless
Histiophryne pogonius,NA,Histiophryne,Histiophryninae,short and / or deep,10,4.81,NA,NA,never/rarely,harmless
Histiophryne psychedelica,Psychedelic frogfish,Histiophryne,Histiophryninae,short and / or deep,10,6.5,5,10,never/rarely,harmless
Histrio histrio,Sargassumfish,Histrio,Antennariinae,short and / or deep,10,20,0,50,commercial,reports of ciguatera poisoning
Kuiterichthys furcipilis,Rough anglerfish,Kuiterichthys,Histiophryninae,other,10,15,10,240,never/rarely,harmless
Lasiognathus amphirhamphus,NA,Lasiognathus,NA,short and / or deep,10,NA,1200,1305,never/rarely,harmless
Lasiognathus beebei,NA,Lasiognathus,NA,short and / or deep,10,NA,0,1100,never/rarely,harmless
Lasiognathus intermedius,NA,Lasiognathus,NA,short and / or deep,10,NA,0,1265,never/rarely,harmless
Lasiognathus saccostoma,NA,Lasiognathus,NA,short and / or deep,10,NA,0,4000,never/rarely,harmless
Lasiognathus waltoni,NA,Lasiognathus,NA,short and / or deep,10,NA,0,1350,never/rarely,harmless
Leptacanthichthys gracilispinis,Plainchin dreamarm,Leptacanthichthys,NA,short and / or deep,25.63,0.8,0,2000,never/rarely,harmless
Linophryne algibarbata,NA,Linophryne,NA,short and / or deep,12,4.1,400,2200,never/rarely,harmless
Linophryne andersoni,NA,Linophryne,NA,short and / or deep,10,NA,NA,50,never/rarely,harmless
Linophryne arborifera,NA,Linophryne,NA,other,10,7,200,1000,never/rarely,harmless
Linophryne arcturi,NA,Linophryne,NA,NA,10,NA,650,1900,never/rarely,harmless
Linophryne argyresca,NA,Linophryne,NA,short and / or deep,10,1.2,NA,1750,never/rarely,harmless
Linophryne bicornis,NA,Linophryne,NA,short and / or deep,12.57,3,620,1220,never/rarely,harmless
Linophryne bipennata,NA,Linophryne,NA,short and / or deep,10,NA,0,2000,never/rarely,harmless
Linophryne brevibarbata,NA,Linophryne,NA,NA,10,NA,600,2000,never/rarely,harmless
Linophryne coronata,NA,Linophryne,NA,short and / or deep,10,2.6,0,1500,never/rarely,harmless
Linophryne densiramus,Thickbranch angler,Linophryne,NA,short and / or deep,10,NA,150,1400,never/rarely,harmless
Linophryne escaramosa,NA,Linophryne,NA,short and / or deep,10,NA,0,1350,never/rarely,harmless
Linophryne indica,Headlight angler,Linophryne,NA,other,10,4.3,150,2000,never/rarely,harmless
Linophryne lucifer,NA,Linophryne,NA,other,23.55,2.9,0,1000,never/rarely,harmless
Linophryne macrodon,NA,Linophryne,NA,short and / or deep,10,2.15,300,1000,never/rarely,harmless
Linophryne maderensis,NA,Linophryne,NA,NA,10,NA,0,880,never/rarely,harmless
Linophryne parini,NA,Linophryne,NA,short and / or deep,10,NA,NA,1220,never/rarely,harmless
Linophryne pennibarbata,NA,Linophryne,NA,other,10,NA,750,1500,never/rarely,harmless
Linophryne polypogon,NA,Linophryne,NA,NA,10,4.5,1055,1295,never/rarely,harmless
Linophryne quinqueramosa,NA,Linophryne,NA,NA,10,NA,NA,915,never/rarely,harmless
Linophryne racemifera,NA,Linophryne,NA,other,10,NA,210,1500,never/rarely,harmless
Linophryne sexfilis,NA,Linophryne,NA,NA,10,NA,100,1250,never/rarely,harmless
Linophryne trewavasae,NA,Linophryne,NA,NA,10,1.07,NA,1500,never/rarely,harmless
Lophichthys boschmai,Boschma's frogfish,Lophichthys,NA,other,10,5.1,NA,NA,NA,harmless
Lophiocharon hutchinsi,Hutchins' anglerfish,Lophiocharon,Histiophryninae,short and / or deep,10,4.9,2,9,never/rarely,harmless
Lophiocharon lithinostomus,Marble-mouthed frogfish,Lophiocharon,Histiophryninae,short and / or deep,10,9.1,1,10,never/rarely,harmless
Lophiocharon trisignatus,Three-spot frogfish,Lophiocharon,Histiophryninae,short and / or deep,10,14.7,2,52,never/rarely,harmless
Lophiodes beroe,NA,Lophiodes,NA,other,48.55,40,347,860,never/rarely,harmless
Lophiodes bruchius,NA,Lophiodes,NA,NA,22.52,16.44,274,384,never/rarely,harmless
Lophiodes caulinaris,Spottedtail angler,Lophiodes,NA,short and / or deep,40.33,40,15,311,never/rarely,harmless
Lophiodes endoi,Anglerfish,Lophiodes,NA,short and / or deep,46.76,38,261,750,never/rarely,harmless
Lophiodes fimbriatus,NA,Lophiodes,NA,short and / or deep,12.93,7.5,NA,NA,never/rarely,harmless
Lophiodes gracilimanus,NA,Lophiodes,NA,other,22.52,16.54,125,300,never/rarely,harmless
Lophiodes insidiator,Natal angler,Lophiodes,NA,short and / or deep,31.32,30,200,600,never/rarely,harmless
Lophiodes iwamotoi,Long-spine anglerfish,Lophiodes,NA,short and / or deep,32.9,22.6,NA,710,never/rarely,harmless
Lophiodes kempi,Longspine African angler,Lophiodes,NA,other,40.33,40,50,400,never/rarely,harmless
Lophiodes maculatus,Spotted anglerfish,Lophiodes,NA,short and / or deep,23.83,14.1,283,650,never/rarely,harmless
Lophiodes miacanthus,NA,Lophiodes,NA,other,25,15,110,960,never/rarely,harmless
Lophiodes monodi,NA,Lophiodes,NA,other,49.37,52,366,549,never/rarely,harmless
Lophiodes mutilus,Smooth angler,Lophiodes,NA,short and / or deep,44.07,45,234,760,never/rarely,harmless
Lophiodes naresi,Goosefish,Lophiodes,NA,other,24.63,20,180,460,NA,harmless
Lophiodes reticulatus,Reticulated goosefish,Lophiodes,NA,short and / or deep,28.6,25,64,820,never/rarely,harmless
Lophiodes spilurus,Threadfin angler,Lophiodes,NA,short and / or deep,31.32,30,120,475,never/rarely,harmless
Lophiodes triradiatus,Shortspine goosefish,Lophiodes,NA,short and / or deep,29.04,25.9,208,1560,NA,harmless
Lophiomus setigerus,Blackmouth angler,Lophiomus,NA,short and / or deep,35.96,40,30,800,never/rarely,harmless
Lophius americanus,American angler,Lophius,NA,fusiform / normal,76.87,120,0,800,NA,harmless
Lophius budegassa,Blackbellied angler,Lophius,NA,fusiform / normal,69.33,100,70,1013,never/rarely,harmless
Lophius gastrophysus,Blackfin goosefish,Lophius,NA,fusiform / normal,51.25,60,40,700,never/rarely,harmless
Lophius litulon,Yellow goosefish,Lophius,NA,other,78.04,150,25,560,never/rarely,harmless
Lophius piscatorius,Angler,Lophius,NA,short and / or deep,71.61,200,20,1000,never/rarely,harmless
Lophius vaillanti,Shortspine African angler,Lophius,NA,other,58.8,80.3,200,800,never/rarely,harmless
Lophius vomerinus,Devil anglerfish,Lophius,NA,fusiform / normal,60.18,100,150,400,never/rarely,harmless
Lophodolos acanthognathus,Whalehead dreamer,Lophodolos,NA,short and / or deep,21.72,NA,650,1500,never/rarely,harmless
